Facility Name,CMS Certification Number (CCN),Address,City,State,Zip Code,Network,VAT Catheter Measure Score Applied,National Average VAT Catheter Measure Score,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Measure Score Applied,National Average VAT Fistula Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Achievement Period Numerator,Kt/V Comprehensive Achievement Period Denominator,Kt/V Comprehensive Improvement Period Denominator,Kt/V Comprehensive Measure Score Applied,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,Hypercalcemia Reason for No Score (See Footnotes File),Hypercalcemia Achievement Measure Rate,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Measure Score Applied,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score Applied,National Average NHSN BSI Measure Score,NHSN Dialysis Event Reporting Number of Months Reported,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),ICH CAHPS Achievement Period Count of Completed Surveys,ICH CAHPS Improvement Period Count of Completed Surveys,ICH CAHPS Measure Score Applied,National Average ICH CAHPS Measure Score,ICH CAHPS Neph Comm and Caring Measure Score Applied,Serum Phosphorus Measure Score,National Average Serum Phosphorus Measure Score,National Average Anemia Management Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Period Numerator,SRR Measure Score Applied,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,STrR Achievement Measure Ratio,Number of Patient-Years at Risk in STrR Achievement Period,STrR Achievement Period Numerator,STrR Achievement Period Denominator,STrR Improvement Measure Ratio,STrR Measure Score Applied,National Average STrR Measure Score,SHR Achievement Period Numerator,SHR Achievement Period Denominator,SHR Measure Score Applied,National Average SHR Measure Score,Pain Assessment and Follow-up Measure Score,Ultrafiltration Measure Score,Ultrafiltration Reason for No Score (See Footnotes File),National Average Ultrafiltration Measure Score,Total-Performance-Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
FMC LANGDALE,12513,8 MEDICAL PARK ,VALLEY,AL,36854,8,Achievement,5,557,582,Achievement,5,5,752,770,360,Achievement,7,6,-,0.91%,7,766,Achievement,10,Achievement,6,12,5,7,6,-,47,42,Achievement,5,Achievement,9,9,10,-,5,8.994,1,Achievement,5,3,1.164,39.44421629,18,15.468,1.164,Achievement,5,42,70.873,Achievement,5,10,3,-,4,75,No Reduction,2/12/1981,FRESENIUS MEDICAL CARE,10/10/2009
FMC OPELIKA,12515,2609 VILLAGE PROFESSIONAL DR STE 2,OPELIKA,AL,36801,8,Achievement,5,694,850,Achievement,5,5,1251,1277,605,Achievement,7,8,-,0.53%,7,1321,Achievement,10,Achievement,6,12,8,7,6,-,57,58,Achievement,5,Achievement,10,9,10,-,11,14.477,6,Achievement,5,7,0.668,66.00136893,16,23.946,1.077,Achievement,5,55,110.001,Achievement,5,10,2,-,4,82,No Reduction,9/7/1982,FRESENIUS MEDICAL CARE,5/24/2016
DSI SOUTH DIALYSIS,12516,3201 3RD AVE SOUTH ,BIRMINGHAM,AL,35222,8,Achievement,5,162,297,Achievement,5,5,591,625,644,Achievement,7,10,-,0.00%,0,627,Achievement,10,Achievement,6,12,8,7,No Score,5,19,28,N/A,5,N/A,9,9,10,-,9,9.777,9,Achievement,5,3,1.213,29.43737166,12,9.89,0.768,Achievement,5,44,53.085,Achievement,5,10,3,-,4,62,No Reduction,12/2/1982,DIVERSIFIED SPECIALTY INSTITUTES (DSI),7/19/2015
DVA HEALTHCARE RENAL CARE INC,12517,15953 ATHENS LIMESTONE DRIVE ,ATHENS,AL,35613,8,Achievement,5,518,673,Achievement,5,5,787,807,859,Achievement,7,3,-,1.76%,15,854,Achievement,10,Achievement,6,12,4,7,6,-,44,42,Achievement,5,Achievement,9,9,10,-,25,21.935,29,Achievement,5,0,1.592,47.34017796,27,16.958,0.775,Achievement,5,110,97.666,Achievement,5,10,2,-,4,53,0.50%,1/21/1983,DAVITA,3/6/2012
FMC SCOTTSBORO,12519,20998 JOHN T. REID HWY ,SCOTTSBORO,AL,35768,8,Achievement,5,395,562,Achievement,5,5,741,758,694,Achievement,7,9,-,0.13%,1,771,Achievement,10,Achievement,6,12,8,7,7,-,34,39,Achievement,5,Achievement,10,9,10,-,26,18.554,13,Achievement,5,0,1.588,36.79397673,22,13.851,0.702,Achievement,5,65,83.389,Achievement,5,10,3,-,4,64,No Reduction,11/5/1984,FRESENIUS MEDICAL CARE,9/26/2013
FMC TROY,12520,606 BOTTS AVE ,TROY,AL,36081,8,Achievement,5,168,387,Improvement,5,5,593,611,580,Achievement,7,10,-,0.00%,0,612,Achievement,10,Achievement,6,12,10,7,No Score,5,25,24,N/A,5,N/A,10,9,10,-,15,9.51,4,Achievement,5,7,0.72,26.58726899,7,9.725,0.764,Achievement,5,45,52.94,Achievement,5,10,3,-,4,63,No Reduction,11/19/1984,FRESENIUS MEDICAL CARE,3/6/2012
DCI DOTHAN,12521,1630 COLUMBIA HWY ,DOTHAN,AL,36303,8,Achievement,5,492,828,Achievement,5,5,1348,1461,1356,Achievement,7,7,-,0.68%,10,1476,Achievement,10,Achievement,6,12,7,7,8,-,48,43,Achievement,5,Achievement,10,9,10,-,28,41.222,58,Achievement,5,5,0.92,80.73100616,27,29.352,0.711,Achievement,5,166,172.362,Achievement,5,10,4,-,4,65,No Reduction,3/11/1985,"DIALYSIS CLINIC, INC.",3/7/2012
FMC HUNTSVILLE,12522,2325 PANSY STREET SUITE C,HUNTSVILLE,AL,35801,8,Achievement,5,332,490,Achievement,5,5,571,591,580,Achievement,7,10,-,0.00%,0,597,Achievement,10,Achievement,6,12,5,7,No Score,5,20,23,N/A,5,N/A,10,9,10,-,22,19.278,17,Achievement,5,6,0.935,34.24229979,11,11.762,1.894,Improvement,5,79,76.541,Achievement,5,10,3,-,4,57,0.50%,12/13/1986,FRESENIUS MEDICAL CARE,9/14/2015
PHENIX CITY DIALYSIS,12523,4391 RIVERCHASE DRIVE ,PHENIX CITY,AL,36867,8,Achievement,5,481,587,Achievement,5,5,751,795,834,Achievement,7,8,-,0.38%,3,791,Achievement,10,Achievement,6,12,8,7,3,-,35,45,Achievement,5,Achievement,10,9,10,-,22,19.721,21,Achievement,5,9,0.479,42.40657084,7,14.604,0.749,Achievement,5,77,95.02,Achievement,5,10,1,-,4,64,No Reduction,9/23/1985,DAVITA,5/2/2014
FMC EAST MOBILE,12524,1217 GOVERNMENT ST ,MOBILE,AL,36604,8,Achievement,5,349,574,Achievement,5,5,1403,1563,1430,Achievement,7,7,-,0.78%,13,1657,Achievement,10,Achievement,6,12,9,7,2,-,37,37,Achievement,5,Achievement,10,9,10,-,45,36.295,31,Achievement,5,0,2.238,68.5284052,52,23.235,0.885,Achievement,5,179,124.722,Achievement,5,10,0,-,4,36,1.50%,12/1/1985,FRESENIUS MEDICAL CARE,5/3/2016
FMC WEST MOBILE,12525,6601 WALL STREET SUITE A,MOBILE,AL,36695,8,Achievement,5,325,595,Achievement,5,5,776,802,732,Achievement,7,10,-,0.00%,0,861,Achievement,10,Achievement,6,12,6,7,No Score,5,29,42,N/A,5,N/A,9,9,10,-,11,19.069,14,Achievement,5,5,0.911,39.79192334,14,15.375,0.854,Achievement,5,83,109.739,Achievement,5,10,1,-,4,69,No Reduction,12/2/1985,FRESENIUS MEDICAL CARE,3/6/2012
RCG PRINCETON,12526,708 COTTON AVE SW ,BIRMINGHAM,AL,35211,8,Achievement,5,230,596,Achievement,5,5,1156,1225,1195,Achievement,7,8,-,0.39%,5,1288,Achievement,10,Achievement,6,12,9,7,0,-,44,42,Achievement,5,Achievement,6,9,10,-,37,32.408,41,Improvement,5,5,0.958,43.82477755,15,15.657,1.091,Achievement,5,145,99.807,Achievement,5,10,1,-,4,41,1.00%,9/18/1985,FRESENIUS MEDICAL CARE,3/6/2012
DCI ENTERPRISE,12527,3861 SALEM ROAD ,ENTERPRISE,AL,36330,8,Achievement,5,347,501,Achievement,5,5,609,628,602,Achievement,7,8,-,0.32%,2,628,Achievement,10,Achievement,6,12,4,7,8,-,31,26,Achievement,5,Achievement,10,9,10,-,17,15.459,8,Achievement,5,6,0.811,35.89596167,11,13.556,0.521,Achievement,5,56,77.139,Achievement,5,10,6,-,4,68,No Reduction,7/4/1986,"DIALYSIS CLINIC, INC.",4/2/2009
FMC CAHABA VALLEY,12528,120 CAHABA VALLEY PARKWAY SUITE 150,PELHAM,AL,35124,8,Achievement,5,261,354,Achievement,5,5,565,578,591,Achievement,7,10,-,0.00%,0,578,Achievement,10,Achievement,6,12,9,7,No Score,5,15,21,N/A,5,N/A,8,9,10,-,11,9.943,2,Achievement,5,8,0.553,25.05407255,5,9.038,0.402,Achievement,5,41,47.627,Achievement,5,10,6,-,4,78,No Reduction,9/17/1986,FRESENIUS MEDICAL CARE,9/17/2004
FLORENCE DIALYSIS,12529,422 EAST DR. HICKS BLVD ,FLORENCE,AL,35630,8,Achievement,5,587,777,Achievement,5,5,1154,1203,1245,Achievement,7,4,-,1.49%,18,1205,Achievement,10,Achievement,6,12,6,7,4,-,48,56,Achievement,5,Improvement,10,9,10,-,32,35.66,26,Achievement,5,4,1.017,70.64476386,26,25.575,0.845,Achievement,5,149,160.675,Achievement,5,10,8,-,4,62,No Reduction,9/16/1986,DAVITA,3/6/2012
RAI EAST 11TH ST ANNISTON,12530,522 EAST 11TH STREET 1ST FLOOR,ANNISTON,AL,36207,8,Achievement,5,302,508,Achievement,5,5,737,763,717,Achievement,7,7,-,0.64%,5,783,Achievement,10,Achievement,6,12,8,7,No Score,5,28,30,N/A,5,N/A,10,9,10,-,14,19.154,23,Achievement,5,2,1.225,39.86036961,17,13.874,1.213,Achievement,5,71,78.804,Achievement,5,10,2,-,4,64,No Reduction,1/7/1987,NOT A CHAIN,3/6/2012
FMC JACKSON (TOMBIGBEE),12531,215 WALKER SPRINGS RD ,JACKSON,AL,36545,8,Achievement,5,325,621,Achievement,5,5,832,858,803,Achievement,7,8,-,0.32%,3,944,Achievement,10,Achievement,6,12,8,7,No Score,5,21,16,N/A,5,N/A,10,9,10,-,10,13.703,5,Achievement,5,4,1.021,50.11909651,19,18.601,0.646,Achievement,5,69,99.945,Achievement,5,10,2,-,4,69,No Reduction,1/29/1987,FRESENIUS MEDICAL CARE,8/11/2017
DCI EUFAULA,12532,123 A EAST BARBOUR STREET ,EUFAULA,AL,36027,8,Achievement,5,238,371,Achievement,5,5,509,517,526,Achievement,7,7,-,0.58%,3,518,Achievement,10,Achievement,6,12,10,7,9,-,33,25,Achievement,5,Achievement,10,9,10,-,7,7.064,7,Achievement,5,10,0.204,26.12457221,2,9.803,1.002,Achievement,5,29,56.68,Achievement,5,10,9,-,4,88,No Reduction,11/25/1987,"DIALYSIS CLINIC, INC.",3/28/2014
WALKER COUNTY DIALYSIS,12533,260 6TH AVENUE NORTHWEST ,JASPER,AL,35504,8,Achievement,5,201,260,Achievement,5,5,462,479,508,Achievement,7,9,-,0.21%,1,483,Achievement,10,Achievement,6,12,4,7,No Score,5,18,19,N/A,5,N/A,7,9,10,-,19,16.73,11,Achievement,5,0,2.832,20.04380561,21,6.843,1.175,Achievement,5,60,45.791,Achievement,5,10,1,-,4,44,1.00%,12/29/1987,DAVITA,5/15/2012
BESSEMER KIDNEY CENTER,12534,975 9TH AVE SW SUITE 500,BESSEMER,AL,35022,8,Achievement,5,119,326,Improvement,5,5,676,683,687,Achievement,7,8,-,0.29%,2,697,Achievement,10,Achievement,6,12,8,7,No Score,5,24,29,N/A,5,N/A,10,9,10,-,16,18.368,26,Achievement,5,5,1.027,29.63723477,11,10.706,1.727,Improvement,5,72,73.243,Improvement,5,10,7,-,4,69,No Reduction,3/22/1988,FRESENIUS MEDICAL CARE,10/29/2008
PCD PRATTVILLE,12535,600 MCQUEEN SMITH ROAD SOUTH ,PRATTVILLE,AL,36066,8,Achievement,5,326,455,Achievement,5,5,629,639,610,Achievement,7,7,-,0.62%,4,650,Achievement,10,Achievement,6,12,4,7,5,-,42,47,Achievement,5,Achievement,10,9,10,-,30,25.802,38,Improvement,5,1,1.383,34.20396988,18,13.011,0.8,Achievement,5,94,78.939,Improvement,5,10,4,-,4,52,0.50%,1/26/1990,DAVITA,3/6/2012
FMC MONTCLAIR,12536,7780 LUDINGTON LANE ,BIRMINGHAM,AL,35210,8,Achievement,5,200,430,Achievement,5,5,617,630,603,Achievement,7,9,-,0.15%,1,649,Achievement,10,Achievement,6,12,10,7,No Score,5,20,24,N/A,5,N/A,10,9,10,-,11,12.199,13,Achievement,5,6,0.811,31.44421629,9,11.093,0.387,Achievement,5,57,66.37,Achievement,5,10,4,-,4,75,No Reduction,9/12/1990,FRESENIUS MEDICAL CARE,9/17/2004
FMC PRICHARD,12537,4016 HWY 45 ,WHISTLER,AL,36613,8,Achievement,5,284,413,Achievement,5,5,905,949,981,Achievement,7,10,-,0.00%,0,936,Achievement,10,Achievement,6,12,8,7,5,-,48,46,Achievement,5,Achievement,10,9,10,-,21,23.299,22,Achievement,5,3,1.15,37.53045859,17,14.781,1.255,Achievement,5,96,83.553,Achievement,5,10,0,-,4,61,No Reduction,4/23/1990,FRESENIUS MEDICAL CARE,3/6/2012
RCG ANDALUSIA,12538,1208 WEST BYPASS ,ANDALUSIA,AL,36420,8,Achievement,5,306,536,Achievement,5,5,622,634,258,Achievement,7,6,-,0.94%,6,635,Achievement,10,Achievement,6,12,8,7,No Score,5,23,18,N/A,5,N/A,10,9,10,-,28,28.252,1,Achievement,5,0,1.496,34.91581109,20,13.371,0.427,Achievement,5,104,89.186,Achievement,5,10,4,-,4,53,0.50%,6/26/1991,FRESENIUS MEDICAL CARE,1/9/2014
FMC MONROEVILLE (WHETSTONE),12540,676 S ALABAMA AVE ,MONROEVILLE,AL,36460,8,Achievement,5,307,498,Achievement,5,5,650,663,576,Achievement,7,8,-,0.45%,3,666,Achievement,10,Achievement,6,12,8,7,No Score,5,26,21,N/A,5,N/A,10,9,10,-,16,12.739,8,Achievement,5,8,0.645,43.07186858,10,15.5,0.736,Achievement,5,59,72.676,Achievement,5,10,6,-,4,67,No Reduction,9/18/1991,FRESENIUS MEDICAL CARE,8/10/2011
FMC DADEVILLE,12541,52 WATERWORKS RD ,DADEVILLE,AL,36853,8,Achievement,5,372,410,Achievement,5,5,489,503,287,Achievement,7,7,-,0.59%,3,505,Achievement,10,Achievement,6,12,6,7,No Score,5,23,32,N/A,5,N/A,10,9,10,-,3,6.137,11,Achievement,5,6,0.805,25.62902122,8,9.941,0.664,Achievement,5,28,49.069,Achievement,5,10,4,-,4,84,No Reduction,3/11/1992,FRESENIUS MEDICAL CARE,7/11/2000
RAINBOW CITY DIALYSIS,12542,2800 RAINBOW DRIVE ,RAINBOW CITY,AL,35906,8,Achievement,5,254,324,Achievement,5,5,663,677,748,Achievement,7,6,-,0.88%,6,683,Achievement,10,Achievement,6,12,4,7,No Score,5,18,19,N/A,5,N/A,9,9,10,-,17,18.654,21,Achievement,5,6,0.894,34.02053388,11,12.298,1.792,Improvement,5,84,75.103,Achievement,5,10,7,-,4,69,No Reduction,5/5/1992,GAMBRO HEALTHCARE,1/2/1980
DEMOPOLIS DIALYSIS,12543,511 S CEDAR AVE ,DEMOPOLIS,AL,36732,8,Achievement,5,310,554,Improvement,5,5,696,714,704,Achievement,7,4,-,1.39%,10,718,Achievement,10,Achievement,6,12,6,7,7,-,35,39,Achievement,5,Achievement,10,9,10,-,14,14.966,14,Achievement,5,8,0.637,41.32238193,9,14.123,1.246,Achievement,5,66,81.121,Achievement,5,10,4,-,4,67,No Reduction,5/20/1992,DAVITA,8/28/2016
OZARK DIALYSIS,12544,195 BUNTING DRIVE ,OZARK,AL,36360,8,Achievement,5,374,500,Achievement,5,5,549,580,630,Achievement,7,8,-,0.35%,2,579,Achievement,10,Achievement,6,12,4,7,No Score,5,20,31,N/A,5,N/A,9,9,10,-,7,14.01,10,Achievement,5,6,0.773,33.11430527,10,12.942,0.751,Achievement,5,67,74.577,Achievement,5,10,3,-,4,70,No Reduction,8/4/1992,DAVITA,8/19/2016
TUSCALOOSA DIALYSIS,12545,805 OLD MILL STREET ,TUSCALOOSA,AL,35401,8,Achievement,5,319,621,Achievement,5,5,980,1029,955,Achievement,7,7,-,0.79%,8,1018,Achievement,10,Achievement,6,12,5,7,2,-,38,45,Achievement,5,Achievement,10,9,10,-,45,40.55,52,Achievement,5,0,1.563,52.20807666,27,17.278,1.479,Achievement,5,133,119.833,Achievement,5,10,0,-,4,37,1.50%,8/11/1992,DAVITA,8/2/2009
FMC TUSKEGEE,12546,802 E. MARTIN LUTHER KING HWY ,TUSKEGEE,AL,36083,8,Achievement,5,381,433,Achievement,5,5,702,722,398,Achievement,7,9,-,0.14%,1,739,Achievement,10,Achievement,6,12,10,7,2,-,44,53,Achievement,5,Achievement,10,9,10,-,7,6.415,2,Achievement,5,8,0.567,26.65023956,5,8.824,0.628,Achievement,5,33,52.547,Achievement,5,10,7,-,4,73,No Reduction,5/18/1993,FRESENIUS MEDICAL CARE,2/3/2016
FMC EASTERN SHORE,12547,124 PROFESSIONAL PARK DR ,FAIRHOPE,AL,36532,8,Achievement,5,307,450,Achievement,5,5,779,795,825,Achievement,7,10,-,0.00%,0,816,Achievement,10,Achievement,6,12,9,7,5,-,30,41,Achievement,5,Achievement,10,9,10,-,15,17.472,6,Achievement,5,6,0.849,32.6954141,10,11.784,0.218,Achievement,5,80,76.923,Achievement,5,10,6,-,4,72,No Reduction,8/1/1993,FRESENIUS MEDICAL CARE,2/8/2011
FAYETTE DIALYSIS,12548,2450 TEMPLE AVE N ,FAYETTE,AL,35555,8,Achievement,5,199,322,Achievement,5,5,397,406,388,Achievement,7,4,-,1.47%,6,407,Achievement,10,Achievement,6,12,8,7,No Score,5,20,25,N/A,5,N/A,7,9,10,-,17,19.742,19,Achievement,5,8,0.569,23.67693361,5,8.794,0.99,Achievement,5,70,66.888,Achievement,5,10,5,-,4,66,No Reduction,11/12/1993,DAVITA,4/23/2010
BIO-MEDICAL APPLICATIONS OF ALABAMA INC.,12549,1205 BELLEVILLE AVE. ,BREWTON,AL,36426,8,Improvement,5,75,150,Achievement,5,5,235,241,298,Achievement,7,2,-,1.99%,5,241,Achievement,10,Achievement,6,12,4,7,No Score,5,12,11,N/A,5,N/A,10,9,10,-,7,6.634,5,Achievement,5,0,2.198,12.62149213,18,5.104,2.069,Achievement,5,22,23.647,Achievement,5,10,5,-,4,50,0.50%,3/17/1994,FRESENIUS MEDICAL CARE,5/1/2013
GREENE COUNTY DIALYSIS,12550,544 HIGHWAY 43 ,EUTAW,AL,35462,8,Achievement,5,265,415,Achievement,5,5,524,527,550,Achievement,7,7,-,0.57%,3,527,Achievement,10,Achievement,6,12,4,7,3,-,36,43,Achievement,5,Achievement,10,9,10,-,14,15.161,13,Achievement,5,10,0.382,30.68583162,4,10.47,0.413,Achievement,5,65,52.273,Achievement,5,10,5,-,4,58,0.50%,6/30/1994,DAVITA,3/28/2017
SHEFFIELD DIALYSIS,12551,1120 S JACKSON HWY STE 107 ,SHEFFIELD,AL,35660,8,Achievement,5,319,491,Achievement,5,5,609,620,650,Achievement,7,7,-,0.65%,4,620,Achievement,10,Achievement,6,12,8,7,5,-,44,49,Achievement,5,Achievement,10,9,10,-,19,20.95,9,Achievement,5,4,1.013,36.47091034,14,13.822,0.321,Achievement,5,78,77.008,Achievement,5,10,7,-,4,67,No Reduction,1/1/1995,DAVITA,10/24/2009
BIO-MEDICAL APPLICATIONS OF ALABAMA INC,12552,65 NORTH CATHERINE STREET ,MOBILE,AL,36604,8,Achievement,5,317,607,Achievement,5,5,964,980,856,Achievement,7,10,-,0.00%,0,1015,Achievement,10,Achievement,6,12,8,7,6,-,33,44,Achievement,5,Achievement,10,9,10,-,21,21.359,7,Achievement,5,0,1.655,40.46269678,24,14.502,1.344,Achievement,5,89,94.651,Achievement,5,10,4,-,4,61,No Reduction,7/25/2013,FRESENIUS MEDICAL CARE,7/25/2013
PCD ELMORE COUNTY,12553,125 HOSPITAL DRIVE ,WETUMPKA,AL,36092,8,Achievement,5,195,272,Achievement,5,5,389,392,357,Achievement,7,8,-,0.50%,2,401,Achievement,10,Achievement,6,12,8,7,3,-,30,21,Achievement,5,Achievement,9,9,10,-,10,9.413,1,Achievement,5,0,1.585,18.71868583,11,6.142,0.171,Achievement,5,45,36.814,Achievement,5,10,6,-,4,57,0.50%,1/30/1995,DAVITA,2/26/2011
